trial_id,algorithm,n,mode,time_ms,calls,comparisons,swaps,mean_time_ms,median_time_ms
86,ExpoSort,8,random,0.0335,255,127,18,0.03315049504950495,0.0331
87,ExpoSort,8,random,0.0327,255,127,11,0.03315049504950495,0.0331
88,ExpoSort,8,random,0.0329,255,127,13,0.03315049504950495,0.0331
89,ExpoSort,8,random,0.0329,255,127,13,0.03315049504950495,0.0331
90,ExpoSort,8,random,0.0323,255,127,5,0.03315049504950495,0.0331
91,ExpoSort,8,random,0.0326,255,127,10,0.03315049504950495,0.0331
92,ExpoSort,8,random,0.0336,255,127,19,0.03315049504950495,0.0331
93,ExpoSort,8,random,0.0332,255,127,15,0.03315049504950495,0.0331
94,ExpoSort,8,random,0.0331,255,127,16,0.03315049504950495,0.0331
95,ExpoSort,8,random,0.033,255,127,14,0.03315049504950495,0.0331
96,ExpoSort,8,random,0.0322,255,127,6,0.03315049504950495,0.0331
97,ExpoSort,8,random,0.0325,255,127,9,0.03315049504950495,0.0331
98,ExpoSort,8,random,0.0336,255,127,19,0.03315049504950495,0.0331
99,ExpoSort,8,random,0.0331,255,127,13,0.03315049504950495,0.0331
100,ExpoSort,8,random,0.0332,255,127,13,0.03315049504950495,0.0331
101,ExpoSort,8,random,0.033,255,127,14,0.03315049504950495,0.0331
1,ExpoSort,12,random,0.5647,4095,2047,20,0.5500366336633663,0.5467
2,ExpoSort,12,random,0.5754,4095,2047,21,0.5500366336633663,0.5467
3,ExpoSort,12,random,0.5732,4095,2047,40,0.5500366336633663,0.5467
4,ExpoSort,12,random,0.5604,4095,2047,26,0.5500366336633663,0.5467
5,ExpoSort,12,random,0.5797,4095,2047,34,0.5500366336633663,0.5467
6,ExpoSort,12,random,0.5524,4095,2047,30,0.5500366336633663,0.5467
7,ExpoSort,12,random,0.5518,4095,2047,28,0.5500366336633663,0.5467
8,ExpoSort,12,random,0.5579,4095,2047,29,0.5500366336633663,0.5467
9,ExpoSort,12,random,0.5528,4095,2047,25,0.5500366336633663,0.5467
10,ExpoSort,12,random,0.5578,4095,2047,36,0.5500366336633663,0.5467
11,ExpoSort,12,random,0.5505,4095,2047,36,0.5500366336633663,0.5467
12,ExpoSort,12,random,0.5592,4095,2047,30,0.5500366336633663,0.5467
13,ExpoSort,12,random,0.5609,4095,2047,43,0.5500366336633663,0.5467
14,ExpoSort,12,random,0.5552,4095,2047,40,0.5500366336633663,0.5467
15,ExpoSort,12,random,0.5669,4095,2047,28,0.5500366336633663,0.5467
16,ExpoSort,12,random,0.5557,4095,2047,36,0.5500366336633663,0.5467
17,ExpoSort,12,random,0.5555,4095,2047,30,0.5500366336633663,0.5467
18,ExpoSort,12,random,0.5625,4095,2047,44,0.5500366336633663,0.5467
19,ExpoSort,12,random,0.5601,4095,2047,44,0.5500366336633663,0.5467
20,ExpoSort,12,random,0.5521,4095,2047,39,0.5500366336633663,0.5467
21,ExpoSort,12,random,0.5438,4095,2047,41,0.5500366336633663,0.5467
22,ExpoSort,12,random,0.5434,4095,2047,35,0.5500366336633663,0.5467
23,ExpoSort,12,random,0.538,4095,2047,23,0.5500366336633663,0.5467
24,ExpoSort,12,random,0.5364,4095,2047,32,0.5500366336633663,0.5467
25,ExpoSort,12,random,0.5449,4095,2047,39,0.5500366336633663,0.5467
26,ExpoSort,12,random,0.5398,4095,2047,21,0.5500366336633663,0.5467
27,ExpoSort,12,random,0.5403,4095,2047,25,0.5500366336633663,0.5467
28,ExpoSort,12,random,0.5453,4095,2047,41,0.5500366336633663,0.5467
29,ExpoSort,12,random,0.539,4095,2047,24,0.5500366336633663,0.5467
30,ExpoSort,12,random,0.5376,4095,2047,26,0.5500366336633663,0.5467
31,ExpoSort,12,random,0.5408,4095,2047,33,0.5500366336633663,0.5467
32,ExpoSort,12,random,0.5785,4095,2047,36,0.5500366336633663,0.5467
33,ExpoSort,12,random,0.5396,4095,2047,24,0.5500366336633663,0.5467
34,ExpoSort,12,random,0.5467,4095,2047,37,0.5500366336633663,0.5467
35,ExpoSort,12,random,0.5476,4095,2047,26,0.5500366336633663,0.5467
36,ExpoSort,12,random,0.5394,4095,2047,23,0.5500366336633663,0.5467
37,ExpoSort,12,random,0.541,4095,2047,28,0.5500366336633663,0.5467
38,ExpoSort,12,random,0.5397,4095,2047,37,0.5500366336633663,0.5467
39,ExpoSort,12,random,0.5432,4095,2047,25,0.5500366336633663,0.5467
40,ExpoSort,12,random,0.5452,4095,2047,39,0.5500366336633663,0.5467
41,ExpoSort,12,random,0.5455,4095,2047,47,0.5500366336633663,0.5467
42,ExpoSort,12,random,0.5463,4095,2047,27,0.5500366336633663,0.5467
43,ExpoSort,12,random,0.537,4095,2047,27,0.5500366336633663,0.5467
44,ExpoSort,12,random,0.5623,4095,2047,40,0.5500366336633663,0.5467
45,ExpoSort,12,random,0.5564,4095,2047,42,0.5500366336633663,0.5467
46,ExpoSort,12,random,0.5535,4095,2047,38,0.5500366336633663,0.5467
47,ExpoSort,12,random,0.5548,4095,2047,24,0.5500366336633663,0.5467
48,ExpoSort,12,random,0.5731,4095,2047,33,0.5500366336633663,0.5467
49,ExpoSort,12,random,0.5635,4095,2047,16,0.5500366336633663,0.5467
50,ExpoSort,12,random,0.5729,4095,2047,31,0.5500366336633663,0.5467
51,ExpoSort,12,random,0.5599,4095,2047,27,0.5500366336633663,0.5467
52,ExpoSort,12,random,0.5582,4095,2047,23,0.5500366336633663,0.5467
53,ExpoSort,12,random,0.5591,4095,2047,33,0.5500366336633663,0.5467
54,ExpoSort,12,random,0.5585,4095,2047,28,0.5500366336633663,0.5467
55,ExpoSort,12,random,0.5528,4095,2047,32,0.5500366336633663,0.5467
56,ExpoSort,12,random,0.5402,4095,2047,32,0.5500366336633663,0.5467
57,ExpoSort,12,random,0.5602,4095,2047,33,0.5500366336633663,0.5467
58,ExpoSort,12,random,0.5431,4095,2047,26,0.5500366336633663,0.5467
59,ExpoSort,12,random,0.5399,4095,2047,37,0.5500366336633663,0.5467
60,ExpoSort,12,random,0.5386,4095,2047,32,0.5500366336633663,0.5467
61,ExpoSort,12,random,0.5435,4095,2047,40,0.5500366336633663,0.5467
62,ExpoSort,12,random,0.5518,4095,2047,28,0.5500366336633663,0.5467
63,ExpoSort,12,random,0.5583,4095,2047,47,0.5500366336633663,0.5467
64,ExpoSort,12,random,0.5498,4095,2047,25,0.5500366336633663,0.5467
65,ExpoSort,12,random,0.5456,4095,2047,36,0.5500366336633663,0.5467
66,ExpoSort,12,random,0.5516,4095,2047,28,0.5500366336633663,0.5467
67,ExpoSort,12,random,0.5599,4095,2047,34,0.5500366336633663,0.5467
68,ExpoSort,12,random,0.5637,4095,2047,38,0.5500366336633663,0.5467
69,ExpoSort,12,random,0.5578,4095,2047,43,0.5500366336633663,0.5467
70,ExpoSort,12,random,0.5447,4095,2047,35,0.5500366336633663,0.5467
71,ExpoSort,12,random,0.5383,4095,2047,28,0.5500366336633663,0.5467
72,ExpoSort,12,random,0.5854,4095,2047,32,0.5500366336633663,0.5467
73,ExpoSort,12,random,0.552,4095,2047,22,0.5500366336633663,0.5467
74,ExpoSort,12,random,0.5525,4095,2047,36,0.5500366336633663,0.5467
75,ExpoSort,12,random,0.5528,4095,2047,36,0.5500366336633663,0.5467
76,ExpoSort,12,random,0.5429,4095,2047,27,0.5500366336633663,0.5467
77,ExpoSort,12,random,0.539,4095,2047,38,0.5500366336633663,0.5467
78,ExpoSort,12,random,0.5368,4095,2047,25,0.5500366336633663,0.5467
79,ExpoSort,12,random,0.543,4095,2047,32,0.5500366336633663,0.5467
80,ExpoSort,12,random,0.5411,4095,2047,19,0.5500366336633663,0.5467
81,ExpoSort,12,random,0.5382,4095,2047,40,0.5500366336633663,0.5467
82,ExpoSort,12,random,0.5472,4095,2047,37,0.5500366336633663,0.5467
83,ExpoSort,12,random,0.5427,4095,2047,41,0.5500366336633663,0.5467
84,ExpoSort,12,random,0.5375,4095,2047,19,0.5500366336633663,0.5467
85,ExpoSort,12,random,0.544,4095,2047,42,0.5500366336633663,0.5467
86,ExpoSort,12,random,0.5568,4095,2047,31,0.5500366336633663,0.5467
87,ExpoSort,12,random,0.5433,4095,2047,25,0.5500366336633663,0.5467
88,ExpoSort,12,random,0.541,4095,2047,23,0.5500366336633663,0.5467
89,ExpoSort,12,random,0.5384,4095,2047,23,0.5500366336633663,0.5467
90,ExpoSort,12,random,0.5409,4095,2047,36,0.5500366336633663,0.5467
91,ExpoSort,12,random,0.5387,4095,2047,47,0.5500366336633663,0.5467
92,ExpoSort,12,random,0.5371,4095,2047,31,0.5500366336633663,0.5467
93,ExpoSort,12,random,0.5406,4095,2047,36,0.5500366336633663,0.5467
94,ExpoSort,12,random,0.5435,4095,2047,37,0.5500366336633663,0.5467
95,ExpoSort,12,random,0.5405,4095,2047,46,0.5500366336633663,0.5467
96,ExpoSort,12,random,0.5475,4095,2047,34,0.5500366336633663,0.5467
97,ExpoSort,12,random,0.5417,4095,2047,26,0.5500366336633663,0.5467
98,ExpoSort,12,random,0.5383,4095,2047,44,0.5500366336633663,0.5467
99,ExpoSort,12,random,0.5422,4095,2047,34,0.5500366336633663,0.5467
100,ExpoSort,12,random,0.5435,4095,2047,20,0.5500366336633663,0.5467
101,ExpoSort,12,random,0.5489,4095,2047,33,0.5500366336633663,0.5467
1,ExpoSort,16,random,8.9262,65535,32767,57,8.224579207920792,8.0557
2,ExpoSort,16,random,8.9272,65535,32767,68,8.224579207920792,8.0557
3,ExpoSort,16,random,8.8931,65535,32767,65,8.224579207920792,8.0557
4,ExpoSort,16,random,8.8863,65535,32767,62,8.224579207920792,8.0557
5,ExpoSort,16,random,8.9256,65535,32767,78,8.224579207920792,8.0557
6,ExpoSort,16,random,11.1178,65535,32767,58,8.224579207920792,8.0557
7,ExpoSort,16,random,9.0478,65535,32767,84,8.224579207920792,8.0557
8,ExpoSort,16,random,9.1265,65535,32767,56,8.224579207920792,8.0557
9,ExpoSort,16,random,8.9164,65535,32767,68,8.224579207920792,8.0557
10,ExpoSort,16,random,8.2494,65535,32767,70,8.224579207920792,8.0557
11,ExpoSort,16,random,8.2078,65535,32767,52,8.224579207920792,8.0557
12,ExpoSort,16,random,8.0144,65535,32767,63,8.224579207920792,8.0557
13,ExpoSort,16,random,8.1024,65535,32767,50,8.224579207920792,8.0557
14,ExpoSort,16,random,8.009,65535,32767,47,8.224579207920792,8.0557
15,ExpoSort,16,random,8.1204,65535,32767,34,8.224579207920792,8.0557
16,ExpoSort,16,random,8.0674,65535,32767,55,8.224579207920792,8.0557
17,ExpoSort,16,random,8.1567,65535,32767,60,8.224579207920792,8.0557
18,ExpoSort,16,random,8.0391,65535,32767,63,8.224579207920792,8.0557
19,ExpoSort,16,random,8.2552,65535,32767,64,8.224579207920792,8.0557
20,ExpoSort,16,random,7.9957,65535,32767,76,8.224579207920792,8.0557
21,ExpoSort,16,random,8.0519,65535,32767,55,8.224579207920792,8.0557
22,ExpoSort,16,random,8.4143,65535,32767,68,8.224579207920792,8.0557
23,ExpoSort,16,random,8.0785,65535,32767,51,8.224579207920792,8.0557
24,ExpoSort,16,random,8.0061,65535,32767,65,8.224579207920792,8.0557
25,ExpoSort,16,random,8.0223,65535,32767,59,8.224579207920792,8.0557
